csv,columns
"Foreign-direct-investment,-EUR-billion.csv","['Category', 'Inward stocks', 'Outward stocks', 'Balance']"
PH banan export-destinations-2023-csv-1 (2)/export-destinations-2023-1.csv,"['Year', 'Exporter Country', 'Exporter Country ID', 'Importer Country', 'Importer Country ID', 'HS4', 'HS4 ID', 'Trade Value (USD)']"
"Trade-in-goods,-EUR-billion.csv","['Category', 'EU imports', 'EU exports', 'Balance']"
"Trade-in-services,-EUR-billion.csv","['Category', 'EU imports', 'EU exports', 'Balance']"
china banan import-export-destinations-2023-csv-1 (2)/export-destinations-2023-1.csv,"['Year', 'Exporter Country', 'Exporter Country ID', 'Importer Country', 'Importer Country ID', 'HS4', 'HS4 ID', 'Trade Value (USD)']"
export-destinations-2023-csv-1 (1)/export-destinations-2023-1.csv,"['Year', 'Exporter Country', 'Exporter Country ID', 'Importer Country', 'Importer Country ID', 'HS6', 'HS6 ID', 'Trade Value (USD)']"
export-destinations-2023-csv-1/export-destinations-2023-1.csv,"['Year', 'Exporter Country', 'Exporter Country ID', 'Importer Country', 'Importer Country ID', 'HS6', 'HS6 ID', 'Trade Value (USD)']"
exporters-of-palm-oil-crude-in-2023-csv-1/exporters-of-palm-oil-crude-in-2023-1.csv,"['Country ID', 'Country', 'Year', 'Exports (USD)', 'Share (%)', 'ECI']"
exports-by-product-at-hs4-level-between-india-and-united-states-2023-csv-1/exports-by-product-at-hs4-level-between-india-and-united-states-2023-1.csv,"['Section ID', 'Section', 'HS4 ID', 'HS4', 'Year', ""India's Exports"", ""United States's Exports"", 'PCI']"
exports-by-product-at-hs4-level-between-philippines-and-china-2023-csv-1/exports-by-product-at-hs4-level-between-philippines-and-china-2023-1.csv,"['Section ID', 'Section', 'HS4 ID', 'HS4', 'Year', ""Philippines's Exports"", ""China's Exports"", 'PCI']"
exports-from-india-to-united-states-in-2023-csv-1/exports-from-india-to-united-states-in-2023-1.csv,"['Section ID', 'Section', 'HS4 ID', 'HS4', 'Year', 'Exports from India to United States (USD)', 'PCI']"
exports-from-philippines-to-china-in-2023-csv-1/exports-from-philippines-to-china-in-2023-1.csv,"['Section ID', 'Section', 'HS4 ID', 'HS4', 'Year', 'Exports from Philippines to China (USD)', 'PCI']"
global-trade-balance-of-palm-oil-crude-csv-1/global-trade-balance-of-palm-oil-crude-1.csv,"['Country ID', 'Country', 'Year', 'Exports (USD)', 'Imports (USD)', 'Trade Balance (USD)', 'ECI', 'RCA']"
imports-of-photosensitive-devices-unassembled-photovoltaic-cells-by-country-csv-1/imports-of-photosensitive-devices-unassembled-photovoltaic-cells-by-country-1.csv,"['Continent ID', 'Continent', 'Continental Region ID', 'Continental Region', 'Country ID', 'Country', 'Year', 'Trade Value', 'Share']"
monthly-exports-from-india-to-united-states-csv-1/monthly-exports-from-india-to-united-states-1.csv,"['Month', 'Trade Flow', 'Trade Value (USD)']"
monthly-exports-from-philippines-to-china-csv-1/monthly-exports-from-philippines-to-china-1.csv,"['Month', 'Trade Flow', 'Trade Value (USD)']"
