year,cmdCode,cmdDesc,value_usd,quantity,quantity_unit
2013,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",3096719371.05,3540899038.0,kg
2014,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",3201155925.378,3779067164.0,kg
2015,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",2423952228.755,3506513722.0,kg
2016,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",2153897573.725,3243060668.0,kg
2017,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",2787313254.276,3726579498.0,kg
2018,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",2287283705.74,3280778888.0,kg
2019,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",2038999429.877,3363328416.0,kg
2020,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",2412591552.794,3381077688.844,kg
2021,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",2734768191.708,2644630476.86,kg
2022,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",2411037749.116,1884822707.0,kg
2023,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",2091697835.488,1897817657.0,kg
2024,1511,"Palm oil and its fractions; whether or not refined, but not chemically modified",1481577303.595,1393475249.0,kg
