,reporter_iso3,partner_iso3,trade_flow,year,hs_norm,pair_trade_value_hs_usd
0,EUU,IDN,import,2013,1511,3096719371.05
1,EUU,IDN,import,2014,1511,3201155925.378
2,EUU,IDN,import,2015,1511,2423952228.755
3,EUU,IDN,import,2016,1511,2153897573.725
4,EUU,IDN,import,2017,1511,2787313254.276
5,EUU,IDN,import,2018,1511,2287283705.74
6,EUU,IDN,import,2019,1511,2038999429.877
7,EUU,IDN,import,2020,1511,2412591552.794
8,EUU,IDN,import,2021,1511,2734768191.708
9,EUU,IDN,import,2022,1511,2411037749.116
10,EUU,IDN,import,2023,1511,2091697835.488
11,EUU,IDN,import,2024,1511,1481577303.595
