typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H2","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","501646623","false","-1","N/A",,"false","501646623","false",,"false",,"148068755","148068755","0","true","false",
"C","A","20140101","2014","52","2014","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H2","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","974421232","false","-1","N/A",,"false","974421232","false",,"false",,"263707111","263707111","0","true","false",
"C","A","20150101","2015","52","2015","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H2","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","329477073","false","-1","N/A",,"false","329477073","false",,"false",,"109154118","109154118","0","true","false",
"C","A","20160101","2016","52","2016","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H2","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","319284637","false","-1","N/A",,"false","319284637","false",,"false",,"144770401","144770401","0","true","false",
"C","A","20170101","2017","52","2017","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H4","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","796992700","false","8","kg","796992700","false","800406700","false",,"false",,"290233505","290233505","0","false","true",
"C","A","20180101","2018","52","2018","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H4","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","1273549680","false","8","kg","1273549680","false","1273549680","false","1273585080","false",,"539511178","539511178","0","false","true",
"C","A","20190101","2019","52","2019","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H5","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1067955270.148","true","-1","N/A","0","false","1067955270.148","true","1603173360","false","0","666818419","666818419","6","false","true",
"C","A","20200101","2020","52","2020","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H5","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","928555319.514","true","-1","N/A","0","false","928555319.514","true","1210520340","false",,"494039131","494039131","6","false","true",
"C","A","20210101","2021","52","2021","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H5","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","603020222.629","true","-1","N/A","0","false","603020222.629","true","909352840","false",,"388250843","388250843","6","false","true",
"C","A","20220101","2022","52","2022","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H5","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","503720249.193","true","-1","N/A","0","false","503720249.193","true","832404607","false",,"359614189","359614189","6","false","true",
"C","A","20230101","2023","52","2023","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H5","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","802266340","false",,"359769316","359769316","0","false","true",
"C","A","20240101","2024","52","2024","608","PHL","Philippines","X","Export","156","CHN","China","0","W00","World","H6","HS","true","0803","Bananas, including plantains; fresh or dried","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","543954847","false","8","kg","543954847","false","543954847","false","543954847","false",,"244831562","244831562","0","false","true",
