typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H4","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3540899038","false","8","kg","3540899038","false","3540899038","false","0","false","3096719371.05",,"3096719371.05","0","false","true",
"C","A","20140101","2014","52","2014","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H4","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3779067164","false","8","kg","3779067164","false","3779067164","false","0","false","3201155925.378",,"3201155925.378","0","false","true",
"C","A","20150101","2015","52","2015","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H4","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3506513722","false","8","kg","3506513722","false","3506513722","false","0","false","2423952228.755",,"2423952228.755","0","false","true",
"C","A","20160101","2016","52","2016","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H4","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3243060668","false","8","kg","3243060668","false","3243060668","false","0","false","2153897573.725",,"2153897573.725","0","false","true",
"C","A","20170101","2017","52","2017","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3726579498","false","8","kg","3726579498","false","3726579498","false","0","false","2787313254.276",,"2787313254.276","0","false","true",
"C","A","20180101","2018","52","2018","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3280778888","false","8","kg","3280778888","false","3280778888","false","0","false","2287283705.74",,"2287283705.74","0","false","true",
"C","A","20190101","2019","52","2019","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3363328416","false","8","kg","3363328416","false","3363328416","false","0","false","2038999429.877",,"2038999429.877","0","false","true",
"C","A","20200101","2020","52","2020","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3381077688.844","true","-1","N/A","0","false","3381077688.844","true","0","false","2412591552.794",,"2412591552.794","6","false","true",
"C","A","20210101","2021","52","2021","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H5","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2644630476.86","true","-1","N/A","0","false","2644630476.86","true","0","false","2734768191.708",,"2734768191.708","6","false","true",
"C","A","20220101","2022","52","2022","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1884822707","false","8","kg","1884822707","false","1884822707","false","0","false","2411037749.116",,"2411037749.116","0","false","true",
"C","A","20230101","2023","52","2023","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1897817657","false","8","kg","1897817657","false","1897817657","false","0","false","2091697835.488",,"2091697835.488","0","false","true",
"C","A","20240101","2024","52","2024","97","EUR","European Union","M","Import","360","IDN","Indonesia","0","W00","World","H6","HS","true","1511","Palm oil and its fractions; whether or not refined, but not chemically modified","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1393475249","false","8","kg","1393475249","false","1393475249","false","0","false","1481577303.595",,"1481577303.595","0","false","true",
