rel_path,n_cols,columns_preview
Trade:macro data controls/statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx,2,"['Unnamed: 0', 'Unnamed: 1']"
Trade:macro data controls/statistic_id1618057_manufacturing-capacity-of-solar-modules-in-india-2014-2023.xlsx,2,"['Unnamed: 0', 'Unnamed: 1']"
Trade:macro data controls/statistic_id1095648_value-of-total-palm-oil-exports-indonesia-2014-2024.xlsx,2,"['Unnamed: 0', 'Unnamed: 1']"
Trade:macro data controls/statistic_id1095541_volume-of-total-palm-oil-exports-indonesia-2015-2024.xlsx,2,"['Unnamed: 0', 'Unnamed: 1']"
Trade:macro data controls/WITS-By-HS6Product.xlsx,0,[]
Trade:macro data controls/India_Policy_Uncertainty_Data.xlsx,3,"['Year', 'Month', 'India News-Based Policy Uncertainty Index']"
Trade:macro data controls/statistic_id1309132_gdp-of-indonesia-q1-2012-q1-2022.xlsx,2,"['Unnamed: 0', 'Unnamed: 1']"
Trade:macro data controls/statistic_id626023_inflation-rates-sea-2017-2025-by-country.xlsx,2,"['Unnamed: 0', 'Unnamed: 1']"
"Trade:macro data controls/Foreign-direct-investment,-EUR-billion.csv",4,"['Category', 'Inward stocks', 'Outward stocks', 'Balance']"
Trade:macro data controls/statistic_id861084_monthly-inflation-rate-in-indonesia-2016-2023.xlsx,2,"['Unnamed: 0', 'Unnamed: 1']"
Trade:macro data controls/statistic_id320142_gross-domestic-product--gdp--in-current-prices-in-indonesia-1980-2030.xlsx,2,"['Unnamed: 0', 'Unnamed: 1']"
Trade:macro data controls/statistic_id187683_us-imports-of-trade-goods-from-india-1985-2023.xlsx,2,"['Unnamed: 0', 'Unnamed: 1']"
"Trade:macro data controls/Trade-in-services,-EUR-billion.csv",4,"['Category', 'EU imports', 'EU exports', 'Balance']"
Trade:macro data controls/Global_Policy_Uncertainty_Data.xlsx,4,"['Year', 'Month', 'GEPU_current', 'GEPU_ppp']"
"Trade:macro data controls/Trade-in-goods,-EUR-billion.csv",4,"['Category', 'EU imports', 'EU exports', 'Balance']"
Trade:macro data controls/statistic_id1536821_india-solar-pv-module-and-cell-manufacturing-capacity-h1-2024.xlsx,2,"['Unnamed: 0', 'Unnamed: 1']"
__MACOSX/Trade:macro data controls/._statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
__MACOSX/Trade:macro data controls/._statistic_id1618057_manufacturing-capacity-of-solar-modules-in-india-2014-2023.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
__MACOSX/Trade:macro data controls/._statistic_id1095648_value-of-total-palm-oil-exports-indonesia-2014-2024.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
__MACOSX/Trade:macro data controls/._statistic_id1095541_volume-of-total-palm-oil-exports-indonesia-2015-2024.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
__MACOSX/Trade:macro data controls/._WITS-By-HS6Product.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
__MACOSX/Trade:macro data controls/._India_Policy_Uncertainty_Data.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
__MACOSX/Trade:macro data controls/._statistic_id1309132_gdp-of-indonesia-q1-2012-q1-2022.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
__MACOSX/Trade:macro data controls/._statistic_id626023_inflation-rates-sea-2017-2025-by-country.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
"__MACOSX/Trade:macro data controls/._Foreign-direct-investment,-EUR-billion.csv",0,"[""read_error: 'utf-8' codec can't decode byte 0xc8 in position 99: invalid continuation byte""]"
__MACOSX/Trade:macro data controls/._statistic_id861084_monthly-inflation-rate-in-indonesia-2016-2023.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
__MACOSX/Trade:macro data controls/._statistic_id320142_gross-domestic-product--gdp--in-current-prices-in-indonesia-1980-2030.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
__MACOSX/Trade:macro data controls/._statistic_id187683_us-imports-of-trade-goods-from-india-1985-2023.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
"__MACOSX/Trade:macro data controls/._Trade-in-services,-EUR-billion.csv",0,"[""read_error: 'utf-8' codec can't decode byte 0xc8 in position 99: invalid continuation byte""]"
__MACOSX/Trade:macro data controls/._Global_Policy_Uncertainty_Data.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
"__MACOSX/Trade:macro data controls/._Trade-in-goods,-EUR-billion.csv",0,"[""read_error: 'utf-8' codec can't decode byte 0xc8 in position 99: invalid continuation byte""]"
__MACOSX/Trade:macro data controls/._statistic_id1536821_india-solar-pv-module-and-cell-manufacturing-capacity-h1-2024.xlsx,0,"['read_error: Excel file format cannot be determined, you must specify an engine manually.']"
