series,geo,year,value,source_file
EU_imports_crude_palm_value,EUU,2001,537050.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2002,757886.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2003,975969.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2004,1188940.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2005,1285662.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2006,1464906.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2007,2199165.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2008,3716058.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2009,3035080.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2010,3950149.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2011,4713871.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2012,5424434.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2013,5350033.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2014,4329732.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2015,3762412.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2016,3234822.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2017,3385171.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2018,2902198.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2019,3397977.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2020,3776755.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2021,3736809.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2022,4052217.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
EU_imports_crude_palm_value,EUU,2023,291340.0,statistic_id873693_import-value-of-crude-palm-oils-into-europe-2001-2023.xlsx
