resolution_code,res_key,vote_id,vote_date
A/RES/1593(XV),R/15/1593,679,1961-03-01
A/RES/1596(XV),R/15/1596,681,1961-04-05
A/RES/1883(XVIII),R/18/1883,853,1963-10-04
A/RES/1885(XVIII),R/18/1885,854,1963-10-01
A/RES/1889(XVIII),R/18/1889,856,1963-11-02
A/RES/1899(XVIII),R/18/1899,857,1963-11-02
A/RES/1909(XVIII),R/18/1909,860,1963-11-02
A/RES/1911(XVIII),R/18/1911,861,1963-11-02
A/RES/1913(XVIII),R/18/1913,863,1963-12-03
A/RES/1948(XVIII),R/18/1948,865,1963-12-04
A/RES/1956(XVIII),R/18/1956,866,1963-12-04
A/RES/1964(XVIII),R/18/1964,869,1963-12-06
A/RES/31/110,R/31/110,1694,1976-12-01
A/RES/31/12,R/31/12,1662,1976-11-07
A/RES/31/124,R/31/124,1708,1976-12-01
A/RES/31/128,R/31/128,1709,1976-12-01
A/RES/31/14,R/31/14,1693,1976-11-07
A/RES/31/143,R/31/143,1668,1976-12-02
A/RES/31/144,R/31/144,1669,1976-12-02
A/RES/31/146,R/31/146,1719,1976-12-05
A/RES/31/147,R/31/147,1720,1976-12-05
A/RES/31/148,R/31/148,1721,1976-12-05
A/RES/31/149,R/31/149,1722,1976-12-05
A/RES/31/150,R/31/150,1723,1976-12-05
A/RES/31/152,R/31/152,1724,1976-12-05
A/RES/31/157,R/31/157,1695,1976-12-06
A/RES/31/158,R/31/158,1696,1976-12-06
A/RES/31/174,R/31/174,1698,1976-12-06
A/RES/31/177,R/31/177,1699,1976-12-06
A/RES/31/178,R/31/178,1700,1976-12-06
A/RES/31/186,R/31/186,1701,1976-12-06
A/RES/31/195,R/31/195,1731,1976-12-07
A/RES/31/197,R/31/197,1732,1976-12-07
A/RES/31/20,R/31/20,1663,1976-11-05
A/RES/31/204,R/31/204,1733,1976-12-07
A/RES/31/206,R/31/206,1734,1976-12-07
A/RES/31/21,R/31/21,1664,1976-11-07
A/RES/31/29,R/31/29,1711,1976-11-03
A/RES/31/30,R/31/30,1712,1976-11-03
A/RES/31/33,R/31/33,1702,1976-11-04
A/RES/31/34,R/31/34,1703,1976-11-04
A/RES/31/4,R/31/4,1652,1976-10-04
A/RES/31/44,R/31/44,1665,1976-12-01
A/RES/31/49,R/31/49,1713,1976-12-07
A/RES/31/50,R/31/50,1714,1976-12-07
A/RES/31/53,R/31/53,1715,1976-12-07
A/RES/31/56,R/31/56,1716,1976-12-07
A/RES/31/58,R/31/58,1717,1976-12-07
A/RES/31/59,R/31/59,1718,1976-12-07
A/RES/31/61,R/31/61,1666,1976-12-01
A/RES/31/62,R/31/62,1667,1976-12-01
A/RES/31/66,R/31/66,1671,1976-12-02
A/RES/31/67,R/31/67,1672,1976-12-02
A/RES/31/7,R/31/7,1710,1976-11-07
A/RES/31/70,R/31/70,1673,1976-12-02
A/RES/31/71,R/31/71,1674,1976-12-02
A/RES/31/72,R/31/72,1675,1976-12-02
A/RES/31/73,R/31/73,1676,1976-12-02
A/RES/31/74,R/31/74,1677,1976-12-02
A/RES/31/75,R/31/75,1678,1976-12-02
A/RES/31/76,R/31/76,1740,1976-12-05
A/RES/31/77,R/31/77,1704,1976-12-05
A/RES/31/78,R/31/78,1705,1976-12-05
A/RES/31/80,R/31/80,1706,1976-12-05
A/RES/31/84,R/31/84,1707,1976-12-05
A/RES/31/87,R/31/87,1679,1976-12-06
A/RES/31/88,R/31/88,1680,1976-12-06
A/RES/31/89,R/31/89,1681,1976-12-06
A/RES/31/9,R/31/9,1670,1976-11-03
A/RES/31/91,R/31/91,1682,1976-12-06
A/RES/31/92,R/31/92,1683,1976-12-06
A/RES/32/113,R/32/113,1792,1977-12-02
A/RES/32/115,R/32/115,1793,1977-12-02
A/RES/32/118,R/32/118,1803,1977-12-03
A/RES/32/12,R/32/12,1800,1977-11-04
A/RES/32/122,R/32/122,1804,1977-12-03
A/RES/32/124,R/32/124,1805,1977-12-03
A/RES/32/125,R/32/125,1806,1977-12-03
A/RES/32/126,R/32/126,1807,1977-12-03
A/RES/32/129,R/32/129,1808,1977-12-03
A/RES/32/13,R/32/13,1801,1977-11-04
A/RES/32/130,R/32/130,1809,1977-12-03
A/RES/32/14,R/32/14,1802,1977-11-04
A/RES/32/142,R/32/142,1810,1977-12-03
A/RES/32/147,R/32/147,1837,1977-12-03
