country_iso3,date,gprh_raw
CHN,1900-01-01,18
CHN,1900-02-01,7
CHN,1900-03-01,11
CHN,1900-04-01,8
CHN,1900-05-01,8
CHN,1900-06-01,109
CHN,1900-07-01,211
CHN,1900-08-01,196
CHN,1900-09-01,67
CHN,1900-10-01,32
CHN,1900-11-01,33
CHN,1900-12-01,25
CHN,1901-01-01,22
CHN,1901-02-01,21
CHN,1901-03-01,41
CHN,1901-04-01,24
CHN,1901-05-01,11
CHN,1901-06-01,14
CHN,1901-07-01,8
CHN,1901-08-01,24
CHN,1901-09-01,13
CHN,1901-10-01,10
CHN,1901-11-01,7
CHN,1901-12-01,9
CHN,1902-01-01,8
CHN,1902-02-01,12
CHN,1902-03-01,11
CHN,1902-04-01,9
CHN,1902-05-01,7
CHN,1902-06-01,9
CHN,1902-07-01,6
CHN,1902-08-01,9
CHN,1902-09-01,7
CHN,1902-10-01,5
CHN,1902-11-01,11
CHN,1902-12-01,8
CHN,1903-01-01,10
CHN,1903-02-01,12
CHN,1903-03-01,3
CHN,1903-04-01,10
CHN,1903-05-01,16
CHN,1903-06-01,6
CHN,1903-07-01,14
CHN,1903-08-01,7
CHN,1903-09-01,2
CHN,1903-10-01,27
CHN,1903-11-01,17
CHN,1903-12-01,26
CHN,1904-01-01,52
CHN,1904-02-01,91
CHN,1904-03-01,69
CHN,1904-04-01,34
CHN,1904-05-01,65
CHN,1904-06-01,33
CHN,1904-07-01,35
CHN,1904-08-01,47
CHN,1904-09-01,34
CHN,1904-10-01,22
CHN,1904-11-01,13
CHN,1904-12-01,13
CHN,1905-01-01,29
CHN,1905-02-01,13
CHN,1905-03-01,21
CHN,1905-04-01,17
CHN,1905-05-01,30
CHN,1905-06-01,23
CHN,1905-07-01,13
CHN,1905-08-01,24
CHN,1905-09-01,18
CHN,1905-10-01,12
CHN,1905-11-01,9
CHN,1905-12-01,7
CHN,1906-01-01,8
CHN,1906-02-01,18
CHN,1906-03-01,16
CHN,1906-04-01,8
CHN,1906-05-01,8
CHN,1906-06-01,2
CHN,1906-07-01,3
CHN,1906-08-01,2
CHN,1906-09-01,8
CHN,1906-10-01,7
CHN,1906-11-01,0
CHN,1906-12-01,6
CHN,1907-01-01,4
CHN,1907-02-01,8
CHN,1907-03-01,2
CHN,1907-04-01,6
CHN,1907-05-01,8
CHN,1907-06-01,19
CHN,1907-07-01,10
CHN,1907-08-01,11
CHN,1907-09-01,2
CHN,1907-10-01,7
CHN,1907-11-01,4
CHN,1907-12-01,4
CHN,1908-01-01,11
CHN,1908-02-01,3
CHN,1908-03-01,11
CHN,1908-04-01,4
CHN,1908-05-01,7
CHN,1908-06-01,2
CHN,1908-07-01,8
CHN,1908-08-01,5
CHN,1908-09-01,3
CHN,1908-10-01,3
CHN,1908-11-01,7
CHN,1908-12-01,7
CHN,1909-01-01,12
CHN,1909-02-01,6
CHN,1909-03-01,1
CHN,1909-04-01,3
CHN,1909-05-01,3
CHN,1909-06-01,2
CHN,1909-07-01,4
CHN,1909-08-01,8
CHN,1909-09-01,6
CHN,1909-10-01,4
CHN,1909-11-01,1
CHN,1909-12-01,5
CHN,1910-01-01,5
CHN,1910-02-01,3
CHN,1910-03-01,6
CHN,1910-04-01,3
CHN,1910-05-01,4
CHN,1910-06-01,7
CHN,1910-07-01,7
CHN,1910-08-01,4
CHN,1910-09-01,4
CHN,1910-10-01,2
CHN,1910-11-01,2
CHN,1910-12-01,5
CHN,1911-01-01,8
CHN,1911-02-01,8
CHN,1911-03-01,25
CHN,1911-04-01,6
CHN,1911-05-01,13
CHN,1911-06-01,2
CHN,1911-07-01,6
CHN,1911-08-01,4
CHN,1911-09-01,20
CHN,1911-10-01,55
CHN,1911-11-01,42
CHN,1911-12-01,20
CHN,1912-01-01,29
CHN,1912-02-01,6
CHN,1912-03-01,23
CHN,1912-04-01,7
CHN,1912-05-01,4
CHN,1912-06-01,6
CHN,1912-07-01,3
