country_iso3,quarter_start,gprh_raw_q
CHN,1900-01-01,12.0
CHN,1900-04-01,41.666666666666664
CHN,1900-07-01,158.0
CHN,1900-10-01,30.0
CHN,1901-01-01,28.0
CHN,1901-04-01,16.333333333333332
CHN,1901-07-01,15.0
CHN,1901-10-01,8.666666666666666
CHN,1902-01-01,10.333333333333334
CHN,1902-04-01,8.333333333333334
CHN,1902-07-01,7.333333333333333
CHN,1902-10-01,8.0
CHN,1903-01-01,8.333333333333334
CHN,1903-04-01,10.666666666666666
CHN,1903-07-01,7.666666666666667
CHN,1903-10-01,23.333333333333332
CHN,1904-01-01,70.66666666666667
CHN,1904-04-01,44.0
CHN,1904-07-01,38.666666666666664
CHN,1904-10-01,16.0
CHN,1905-01-01,21.0
CHN,1905-04-01,23.333333333333332
CHN,1905-07-01,18.333333333333332
CHN,1905-10-01,9.333333333333334
CHN,1906-01-01,14.0
CHN,1906-04-01,6.0
CHN,1906-07-01,4.333333333333333
CHN,1906-10-01,4.333333333333333
CHN,1907-01-01,4.666666666666667
CHN,1907-04-01,11.0
CHN,1907-07-01,7.666666666666667
CHN,1907-10-01,5.0
CHN,1908-01-01,8.333333333333334
CHN,1908-04-01,4.333333333333333
CHN,1908-07-01,5.333333333333333
CHN,1908-10-01,5.666666666666667
CHN,1909-01-01,6.333333333333333
CHN,1909-04-01,2.6666666666666665
CHN,1909-07-01,6.0
CHN,1909-10-01,3.3333333333333335
CHN,1910-01-01,4.666666666666667
CHN,1910-04-01,4.666666666666667
CHN,1910-07-01,5.0
CHN,1910-10-01,3.0
CHN,1911-01-01,13.666666666666666
CHN,1911-04-01,7.0
CHN,1911-07-01,10.0
CHN,1911-10-01,39.0
CHN,1912-01-01,19.333333333333332
CHN,1912-04-01,5.666666666666667
CHN,1912-07-01,6.0
CHN,1912-10-01,7.0
CHN,1913-01-01,5.333333333333333
CHN,1913-04-01,5.333333333333333
CHN,1913-07-01,18.333333333333332
CHN,1913-10-01,5.666666666666667
CHN,1914-01-01,5.333333333333333
CHN,1914-04-01,8.666666666666666
CHN,1914-07-01,49.666666666666664
CHN,1914-10-01,26.333333333333332
CHN,1915-01-01,23.0
CHN,1915-04-01,32.333333333333336
CHN,1915-07-01,14.666666666666666
CHN,1915-10-01,20.0
CHN,1916-01-01,22.333333333333332
CHN,1916-04-01,13.666666666666666
CHN,1916-07-01,20.333333333333332
CHN,1916-10-01,18.333333333333332
CHN,1917-01-01,21.0
CHN,1917-04-01,23.666666666666668
CHN,1917-07-01,26.333333333333332
CHN,1917-10-01,18.0
CHN,1918-01-01,23.666666666666668
CHN,1918-04-01,19.333333333333332
CHN,1918-07-01,24.333333333333332
CHN,1918-10-01,9.666666666666666
CHN,1919-01-01,29.666666666666668
CHN,1919-04-01,21.0
CHN,1919-07-01,39.666666666666664
CHN,1919-10-01,13.666666666666666
CHN,1920-01-01,11.0
CHN,1920-04-01,5.333333333333333
CHN,1920-07-01,13.0
CHN,1920-10-01,9.0
CHN,1921-01-01,7.333333333333333
CHN,1921-04-01,9.333333333333334
CHN,1921-07-01,14.333333333333334
CHN,1921-10-01,31.333333333333332
CHN,1922-01-01,22.333333333333332
CHN,1922-04-01,26.666666666666668
CHN,1922-07-01,12.333333333333334
CHN,1922-10-01,5.666666666666667
CHN,1923-01-01,6.0
CHN,1923-04-01,22.333333333333332
CHN,1923-07-01,7.0
CHN,1923-10-01,5.0
CHN,1924-01-01,4.0
CHN,1924-04-01,3.6666666666666665
CHN,1924-07-01,28.666666666666668
CHN,1924-10-01,22.333333333333332
CHN,1925-01-01,11.666666666666666
CHN,1925-04-01,10.0
CHN,1925-07-01,21.0
CHN,1925-10-01,12.333333333333334
CHN,1926-01-01,11.333333333333334
CHN,1926-04-01,12.333333333333334
CHN,1926-07-01,18.666666666666668
CHN,1926-10-01,17.666666666666668
CHN,1927-01-01,51.333333333333336
CHN,1927-04-01,52.666666666666664
CHN,1927-07-01,15.333333333333334
CHN,1927-10-01,24.0
CHN,1928-01-01,10.666666666666666
CHN,1928-04-01,32.666666666666664
CHN,1928-07-01,16.333333333333332
CHN,1928-10-01,6.0
CHN,1929-01-01,21.666666666666668
CHN,1929-04-01,18.666666666666668
CHN,1929-07-01,64.33333333333333
CHN,1929-10-01,39.666666666666664
CHN,1930-01-01,20.0
CHN,1930-04-01,32.0
CHN,1930-07-01,29.0
CHN,1930-10-01,14.666666666666666
CHN,1931-01-01,6.0
CHN,1931-04-01,22.333333333333332
CHN,1931-07-01,24.333333333333332
CHN,1931-10-01,114.33333333333333
CHN,1932-01-01,188.33333333333334
CHN,1932-04-01,48.333333333333336
CHN,1932-07-01,32.0
CHN,1932-10-01,28.0
CHN,1933-01-01,84.0
CHN,1933-04-01,39.666666666666664
CHN,1933-07-01,20.666666666666668
CHN,1933-10-01,23.666666666666668
CHN,1934-01-01,19.0
CHN,1934-04-01,19.0
CHN,1934-07-01,13.0
CHN,1934-10-01,21.0
CHN,1935-01-01,16.333333333333332
CHN,1935-04-01,27.0
CHN,1935-07-01,25.666666666666668
CHN,1935-10-01,48.333333333333336
CHN,1936-01-01,24.333333333333332
CHN,1936-04-01,47.0
CHN,1936-07-01,34.666666666666664
CHN,1936-10-01,46.0
CHN,1937-01-01,23.333333333333332
CHN,1937-04-01,7.0
CHN,1937-07-01,193.0
CHN,1937-10-01,164.33333333333334
CHN,1938-01-01,95.66666666666667
CHN,1938-04-01,77.0
CHN,1938-07-01,79.66666666666667
CHN,1938-10-01,62.333333333333336
CHN,1939-01-01,62.333333333333336
CHN,1939-04-01,81.33333333333333
CHN,1939-07-01,89.66666666666667
CHN,1939-10-01,78.66666666666667
CHN,1940-01-01,66.0
CHN,1940-04-01,46.666666666666664
CHN,1940-07-01,73.33333333333333
CHN,1940-10-01,70.33333333333333
CHN,1941-01-01,79.66666666666667
CHN,1941-04-01,56.333333333333336
CHN,1941-07-01,88.0
CHN,1941-10-01,146.66666666666666
CHN,1942-01-01,166.0
CHN,1942-04-01,129.33333333333334
CHN,1942-07-01,86.66666666666667
CHN,1942-10-01,73.33333333333333
CHN,1943-01-01,85.0
CHN,1943-04-01,105.66666666666667
CHN,1943-07-01,81.33333333333333
CHN,1943-10-01,103.33333333333333
CHN,1944-01-01,86.0
CHN,1944-04-01,169.66666666666666
CHN,1944-07-01,134.33333333333334
CHN,1944-10-01,141.0
CHN,1945-01-01,126.66666666666667
CHN,1945-04-01,137.0
CHN,1945-07-01,153.0
CHN,1945-10-01,82.0
CHN,1946-01-01,70.33333333333333
CHN,1946-04-01,62.333333333333336
CHN,1946-07-01,74.0
CHN,1946-10-01,57.666666666666664
CHN,1947-01-01,41.333333333333336
CHN,1947-04-01,37.333333333333336
CHN,1947-07-01,33.0
CHN,1947-10-01,34.666666666666664
CHN,1948-01-01,43.666666666666664
CHN,1948-04-01,27.666666666666668
CHN,1948-07-01,30.0
CHN,1948-10-01,54.666666666666664
CHN,1949-01-01,34.333333333333336
CHN,1949-04-01,52.0
CHN,1949-07-01,48.666666666666664
CHN,1949-10-01,54.333333333333336
CHN,1950-01-01,65.33333333333333
CHN,1950-04-01,73.66666666666667
CHN,1950-07-01,122.33333333333333
CHN,1950-10-01,256.3333333333333
CHN,1951-01-01,220.0
CHN,1951-04-01,269.6666666666667
CHN,1951-07-01,139.0
CHN,1951-10-01,127.0
CHN,1952-01-01,113.33333333333333
CHN,1952-04-01,93.66666666666667
CHN,1952-07-01,89.0
CHN,1952-10-01,153.66666666666666
CHN,1953-01-01,161.0
CHN,1953-04-01,167.0
CHN,1953-07-01,113.0
CHN,1953-10-01,70.0
CHN,1954-01-01,87.33333333333333
CHN,1954-04-01,121.0
CHN,1954-07-01,84.33333333333333
CHN,1954-10-01,69.33333333333333
CHN,1955-01-01,132.66666666666666
CHN,1955-04-01,84.33333333333333
CHN,1955-07-01,39.0
CHN,1955-10-01,31.666666666666668
CHN,1956-01-01,54.666666666666664
CHN,1956-04-01,39.666666666666664
CHN,1956-07-01,39.666666666666664
CHN,1956-10-01,34.333333333333336
CHN,1957-01-01,28.333333333333332
CHN,1957-04-01,48.0
CHN,1957-07-01,27.0
CHN,1957-10-01,25.333333333333332
CHN,1958-01-01,22.666666666666668
CHN,1958-04-01,28.0
CHN,1958-07-01,140.66666666666666
CHN,1958-10-01,66.0
CHN,1959-01-01,23.666666666666668
CHN,1959-04-01,25.666666666666668
CHN,1959-07-01,48.333333333333336
CHN,1959-10-01,45.666666666666664
CHN,1960-01-01,22.0
CHN,1960-04-01,58.666666666666664
CHN,1960-07-01,54.333333333333336
CHN,1960-10-01,56.333333333333336
CHN,1961-01-01,58.333333333333336
CHN,1961-04-01,62.0
CHN,1961-07-01,43.333333333333336
CHN,1961-10-01,49.666666666666664
CHN,1962-01-01,54.333333333333336
CHN,1962-04-01,57.666666666666664
CHN,1962-07-01,47.333333333333336
CHN,1962-10-01,137.0
CHN,1963-01-01,55.0
CHN,1963-04-01,59.333333333333336
CHN,1963-07-01,149.66666666666666
CHN,1963-10-01,66.33333333333333
CHN,1964-01-01,71.0
CHN,1964-04-01,88.66666666666667
CHN,1964-07-01,95.0
CHN,1964-10-01,101.66666666666667
CHN,1965-01-01,94.0
CHN,1965-04-01,104.33333333333333
CHN,1965-07-01,139.66666666666666
CHN,1965-10-01,98.66666666666667
CHN,1966-01-01,125.33333333333333
CHN,1966-04-01,94.0
CHN,1966-07-01,100.33333333333333
CHN,1966-10-01,92.66666666666667
CHN,1967-01-01,98.66666666666667
CHN,1967-04-01,100.33333333333333
CHN,1967-07-01,123.33333333333333
CHN,1967-10-01,89.66666666666667
CHN,1968-01-01,77.33333333333333
CHN,1968-04-01,55.0
CHN,1968-07-01,48.333333333333336
CHN,1968-10-01,36.0
CHN,1969-01-01,66.66666666666667
CHN,1969-04-01,54.333333333333336
CHN,1969-07-01,54.0
CHN,1969-10-01,42.333333333333336
CHN,1970-01-01,51.333333333333336
CHN,1970-04-01,61.0
CHN,1970-07-01,51.666666666666664
CHN,1970-10-01,36.0
