case_id,ds_code,complainant_iso3,respondent_iso3,product,topic,event_type,event_date,event_qtr,venue,report_url,enforcement_strength,settlement_text,notes,year,event_qtr_start,complainant_agree_usa_strict,complainant_agree_chn_strict,respondent_agree_usa_strict,respondent_agree_chn_strict,gpr_complainant,gpr_respondent,gpr_spread
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),consultations_requested,2019-12-09,2019-Q4,WTO,https://policy.trade.ec.europa.eu/enforcement-and-protection/dispute-settlement/wto-dispute-settlement/wto-disputes-cases-involving-eu/wtds593-european-union-certain-measures-concerning-palm-oil-and-oil-palm-crop-based-biofuels_en,,,Indonesia requests consultations with the EU regarding RED II and related measures.,2019,2019-10-01,0.1547619047619047,0.9285714285714286,,,0.6666666666666666,,
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),panel_request,2020-03-18,2020-Q1,WTO,https://policy.trade.ec.europa.eu/enforcement-and-protection/dispute-settlement/wto-dispute-settlement/wto-disputes-cases-involving-eu/wtds593-european-union-certain-measures-concerning-palm-oil-and-oil-palm-crop-based-biofuels_en,,,Indonesia requests the establishment of a panel.,2020,2020-01-01,0.1481481481481481,0.9156626506024096,,,1.6666666666666667,,
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),panel_established,2020-07-29,2020-Q3,WTO,https://policy.trade.ec.europa.eu/enforcement-and-protection/dispute-settlement/wto-dispute-settlement/wto-disputes-cases-involving-eu/wtds593-european-union-certain-measures-concerning-palm-oil-and-oil-palm-crop-based-biofuels_en,,,DSB establishes panel.,2020,2020-07-01,0.1481481481481481,0.9156626506024096,,,3.0,,
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),other,2024-03-05,2024-Q1,WTO,https://web.wtocenter.org.tw/downFiles/13317/398113/00XUQCJLl00000uMEzb6op111110fCRqEC6Xh1gmBurZgeJ7OhUHxQcRH35ZPcs92I9b9qjT47WZRtFGM42MuyV0m6HqCiFg%3D%3D,,,Panel work suspended at Indonesia's request (Art. 12.12 DSU) for two months; later extended.,2024,2024-01-01,0.2777777777777778,0.9315068493150684,,,,,
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),other,2024-07-08,2024-Q3,WTO,https://web.wtocenter.org.tw/downFiles/13317/398113/00XUQCJLl00000uMEzb6op111110fCRqEC6Xh1gmBurZgeJ7OhUHxQcRH35ZPcs92I9b9qjT47WZRtFGM42MuyV0m6HqCiFg%3D%3D,,,Panel indicates plan to resume and circulate report on 8 July 2024 (after extension).,2024,2024-07-01,0.2777777777777778,0.9315068493150684,,,,,
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),other,2024-09-09,2024-Q3,WTO,https://web.wtocenter.org.tw/downFiles/13317/404861/00o2M4c4zL9WH0AV65xmsMEE1K1k9oGMPJXTdxCTfQ5e9FYwkDkYq5gXsRlDvCnjRrZfDnznErpapX9NZ9gF2HZQ%3D%3D,,,Further extension: panel indicates 9 September 2024 target to resume/circulate.,2024,2024-07-01,0.2777777777777778,0.9315068493150684,,,,,
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),other,2024-11-11,2024-Q4,WTO,https://web.wtocenter.org.tw/downFiles/13317/404861/00o2M4c4zL9WH0AV65xmsMEE1K1k9oGMPJXTdxCTfQ5e9FYwkDkYq5gXsRlDvCnjRrZfDnznErpapX9NZ9gF2HZQ%3D%3D,,,Further extension: panel indicates 11 November 2024 target to resume/circulate.,2024,2024-10-01,0.2777777777777778,0.9315068493150684,,,,,
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),panel_report,2025-01-10,2025-Q1,WTO,https://www.wto.org/english/tratop_e/dispu_e/593r_e.pdf,,,Panel report circulated (WT/DS593/R).,2025,2025-01-01,0.05,1.0,,,,,
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),adoption,2025-02-24,2025-Q1,WTO,https://papers.ssrn.com/sol3/Delivery.cfm/5176727.pdf?abstractid=5176727&mirid=1&type=2,,,Panel report adopted by the DSB (per scholarly review; confirm via DSB minutes).,2025,2025-01-01,0.05,1.0,,,,,
PHL-CHN-BANANAS-2012,,PHL,CHN,Fresh bananas,Market access during maritime frictions,other,2012-03-01,2012-Q1,Bilateral/AdHoc,https://www.reuters.com/article/business/philippines-seeks-new-markets-amid-sea-dispute-with-china-idUSLNE84G026/,0.0,,China halts a shipment and tightens quarantine on Philippine bananas (exact day not reported; month known).,2012,2012-01-01,0.1929824561403508,0.9818181818181818,,,1.6666666666666667,62.66666666666666,-60.99999999999999
