ms_code,year,issue,n_votes,agree_usa_strict,agree_chn_strict
IDN,1963,colonization,1,0.0,1.0
IDN,1963,disarmament,2,0.5,1.0
IDN,1963,nuclear_weapons,1,1.0,1.0
IDN,1976,colonization,2,0.0,1.0
IDN,1976,disarmament,1,1.0,
IDN,1976,economic_development,2,0.0,1.0
IDN,1976,human_rights,2,0.0,1.0
IDN,1976,israel_palestine,5,0.0,1.0
IDN,1976,nuclear_weapons,1,1.0,
IDN,1977,colonization,4,0.0,1.0
IDN,1977,disarmament,4,1.0,0.5
IDN,1977,economic_development,1,0.0,1.0
IDN,1977,human_rights,2,0.5,1.0
IDN,1977,israel_palestine,3,0.3333333333333333,1.0
IDN,1977,nuclear_weapons,3,1.0,0.6666666666666666
IDN,1978,colonization,2,0.5,1.0
IDN,1978,disarmament,1,1.0,1.0
IDN,1978,economic_development,3,0.3333333333333333,1.0
IDN,1978,human_rights,0,,1.0
IDN,1978,israel_palestine,2,0.0,1.0
IDN,1978,nuclear_weapons,1,1.0,1.0
IDN,1979,colonization,4,0.0,1.0
IDN,1979,disarmament,3,0.3333333333333333,1.0
IDN,1979,economic_development,3,0.0,1.0
IDN,1979,human_rights,5,0.4,1.0
IDN,1979,israel_palestine,10,0.6,1.0
IDN,1979,nuclear_weapons,6,0.16666666666666666,1.0
IDN,1980,colonization,9,0.3333333333333333,0.9230769230769231
IDN,1980,disarmament,2,0.5,1.0
IDN,1980,economic_development,3,0.3333333333333333,1.0
IDN,1980,human_rights,5,0.2,1.0
IDN,1980,israel_palestine,8,0.125,1.0
IDN,1980,nuclear_weapons,3,0.0,1.0
IDN,1981,colonization,7,0.14285714285714285,1.0
IDN,1981,disarmament,3,0.3333333333333333,1.0
IDN,1981,economic_development,2,0.5,1.0
IDN,1981,human_rights,3,0.3333333333333333,1.0
IDN,1981,israel_palestine,13,0.15384615384615385,1.0
IDN,1981,nuclear_weapons,3,0.0,1.0
IDN,1982,colonization,5,0.0,1.0
IDN,1982,disarmament,10,0.3,1.0
IDN,1982,economic_development,5,0.0,1.0
IDN,1982,human_rights,9,0.2222222222222222,1.0
IDN,1982,israel_palestine,15,0.13333333333333333,1.0
IDN,1982,nuclear_weapons,11,0.09090909090909091,0.875
IDN,1983,colonization,6,0.0,1.0
IDN,1983,disarmament,10,0.2,1.0
IDN,1983,economic_development,2,0.5,1.0
IDN,1983,human_rights,6,0.16666666666666666,1.0
IDN,1983,israel_palestine,14,0.14285714285714285,1.0
IDN,1983,nuclear_weapons,9,0.0,1.0
IDN,1984,colonization,6,0.0,1.0
IDN,1984,disarmament,3,0.3333333333333333,1.0
IDN,1984,economic_development,2,0.0,1.0
IDN,1984,human_rights,8,0.25,1.0
IDN,1984,israel_palestine,12,0.25,1.0
IDN,1984,nuclear_weapons,3,0.0,1.0
IDN,1985,colonization,3,0.0,1.0
IDN,1985,disarmament,11,0.18181818181818182,1.0
IDN,1985,economic_development,6,0.0,1.0
IDN,1985,human_rights,6,0.0,1.0
IDN,1985,israel_palestine,11,0.2727272727272727,1.0
IDN,1985,nuclear_weapons,10,0.0,1.0
IDN,1986,colonization,6,0.0,1.0
IDN,1986,disarmament,10,0.2,1.0
IDN,1986,economic_development,5,0.0,1.0
IDN,1986,human_rights,6,0.16666666666666666,1.0
IDN,1986,israel_palestine,11,0.18181818181818182,1.0
IDN,1986,nuclear_weapons,9,0.1111111111111111,1.0
IDN,1987,colonization,4,0.0,1.0
IDN,1987,disarmament,9,0.1111111111111111,1.0
IDN,1987,economic_development,4,0.0,1.0
IDN,1987,human_rights,4,0.0,1.0
IDN,1987,israel_palestine,7,0.14285714285714285,1.0
IDN,1987,nuclear_weapons,4,0.0,1.0
IDN,1988,colonization,2,0.0,1.0
IDN,1988,disarmament,8,0.125,1.0
IDN,1988,economic_development,5,0.0,1.0
IDN,1988,human_rights,6,0.0,1.0
IDN,1988,israel_palestine,8,0.125,1.0
IDN,1988,nuclear_weapons,5,0.0,1.0
IDN,1989,colonization,3,0.0,1.0
IDN,1989,disarmament,5,0.2,1.0
IDN,1989,economic_development,3,0.0,1.0
IDN,1989,human_rights,5,0.0,1.0
IDN,1989,israel_palestine,11,0.18181818181818182,1.0
IDN,1989,nuclear_weapons,6,0.16666666666666666,1.0
IDN,1990,colonization,4,0.25,1.0
IDN,1990,disarmament,3,0.0,1.0
IDN,1990,economic_development,2,0.5,1.0
IDN,1990,human_rights,7,0.14285714285714285,1.0
