ms_code,year,issue,n_votes,agree_usa_strict,agree_chn_strict
IDN,1950,uncategorized,4,1.0,1.0
IDN,1951,uncategorized,1,1.0,1.0
IDN,1952,economic_development,2,0.5,1.0
IDN,1952,human_rights,1,0.0,
IDN,1952,uncategorized,10,0.7,0.8571428571428571
IDN,1953,economic_development,1,1.0,1.0
IDN,1953,human_rights,1,1.0,1.0
IDN,1953,uncategorized,3,0.6666666666666666,0.6666666666666666
IDN,1954,uncategorized,0,,
IDN,1955,uncategorized,0,,0.0
IDN,1956,uncategorized,3,1.0,1.0
IDN,1957,disarmament,0,,
IDN,1957,israel_palestine,0,,
IDN,1957,uncategorized,7,0.7142857142857143,0.8
IDN,1958,disarmament,0,,
IDN,1958,economic_development,0,,1.0
IDN,1958,uncategorized,5,1.0,1.0
IDN,1959,nuclear_weapons,0,,
IDN,1959,uncategorized,3,0.6666666666666666,0.75
IDN,1960,colonization,1,1.0,1.0
IDN,1960,human_rights,1,1.0,1.0
IDN,1960,nuclear_weapons,0,,1.0
IDN,1960,uncategorized,5,0.4,0.4
IDN,1961,economic_development,1,1.0,
IDN,1961,human_rights,0,,
IDN,1961,israel_palestine,0,,
IDN,1961,nuclear_weapons,1,1.0,1.0
IDN,1961,uncategorized,6,0.8333333333333334,0.7142857142857143
IDN,1962,colonization,2,0.5,1.0
IDN,1962,nuclear_weapons,0,,
IDN,1962,uncategorized,6,0.8333333333333334,1.0
IDN,1963,nuclear_weapons,1,1.0,1.0
IDN,1963,uncategorized,8,0.75,0.9090909090909091
IDN,1966,colonization,0,,1.0
IDN,1966,human_rights,2,1.0,1.0
IDN,1966,nuclear_weapons,0,,
IDN,1966,uncategorized,3,0.3333333333333333,0.75
IDN,1967,colonization,0,,1.0
IDN,1967,economic_development,1,0.0,1.0
IDN,1967,human_rights,0,,1.0
IDN,1967,nuclear_weapons,1,1.0,1.0
IDN,1967,uncategorized,2,0.5,0.75
IDN,1968,colonization,1,0.0,1.0
IDN,1968,nuclear_weapons,2,1.0,1.0
IDN,1968,uncategorized,4,0.5,1.0
IDN,1969,colonization,0,,1.0
IDN,1969,disarmament,1,1.0,1.0
IDN,1969,economic_development,1,0.0,1.0
IDN,1969,human_rights,2,0.5,1.0
IDN,1969,israel_palestine,1,0.0,1.0
IDN,1969,uncategorized,2,0.0,1.0
IDN,1970,colonization,2,0.0,1.0
IDN,1970,economic_development,0,,1.0
IDN,1970,human_rights,3,0.3333333333333333,1.0
IDN,1970,israel_palestine,2,0.5,1.0
IDN,1970,nuclear_weapons,1,1.0,1.0
IDN,1970,uncategorized,3,0.3333333333333333,1.0
