case_id,ds_code,complainant_iso3,respondent_iso3,product,topic,event_type,event_date,event_qtr,venue,report_url,enforcement_strength,settlement_text,notes
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),consultations_requested,2019-12-09,2019-Q4,WTO,https://policy.trade.ec.europa.eu/enforcement-and-protection/dispute-settlement/wto-dispute-settlement/wto-disputes-cases-involving-eu/wtds593-european-union-certain-measures-concerning-palm-oil-and-oil-palm-crop-based-biofuels_en,,,Indonesia requests consultations with the EU regarding RED II and related measures.
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),panel_request,2020-03-18,2020-Q1,WTO,https://policy.trade.ec.europa.eu/enforcement-and-protection/dispute-settlement/wto-dispute-settlement/wto-disputes-cases-involving-eu/wtds593-european-union-certain-measures-concerning-palm-oil-and-oil-palm-crop-based-biofuels_en,,,Indonesia requests the establishment of a panel.
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),panel_established,2020-07-29,2020-Q3,WTO,https://policy.trade.ec.europa.eu/enforcement-and-protection/dispute-settlement/wto-dispute-settlement/wto-disputes-cases-involving-eu/wtds593-european-union-certain-measures-concerning-palm-oil-and-oil-palm-crop-based-biofuels_en,,,DSB establishes panel.
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),other,2024-03-05,2024-Q1,WTO,https://web.wtocenter.org.tw/downFiles/13317/398113/00XUQCJLl00000uMEzb6op111110fCRqEC6Xh1gmBurZgeJ7OhUHxQcRH35ZPcs92I9b9qjT47WZRtFGM42MuyV0m6HqCiFg%3D%3D,,,Panel work suspended at Indonesia's request (Art. 12.12 DSU) for two months; later extended.
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),other,2024-07-08,2024-Q3,WTO,https://web.wtocenter.org.tw/downFiles/13317/398113/00XUQCJLl00000uMEzb6op111110fCRqEC6Xh1gmBurZgeJ7OhUHxQcRH35ZPcs92I9b9qjT47WZRtFGM42MuyV0m6HqCiFg%3D%3D,,,Panel indicates plan to resume and circulate report on 8 July 2024 (after extension).
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),other,2024-09-09,2024-Q3,WTO,https://web.wtocenter.org.tw/downFiles/13317/404861/00o2M4c4zL9WH0AV65xmsMEE1K1k9oGMPJXTdxCTfQ5e9FYwkDkYq5gXsRlDvCnjRrZfDnznErpapX9NZ9gF2HZQ%3D%3D,,,Further extension: panel indicates 9 September 2024 target to resume/circulate.
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),other,2024-11-11,2024-Q4,WTO,https://web.wtocenter.org.tw/downFiles/13317/404861/00o2M4c4zL9WH0AV65xmsMEE1K1k9oGMPJXTdxCTfQ5e9FYwkDkYq5gXsRlDvCnjRrZfDnznErpapX9NZ9gF2HZQ%3D%3D,,,Further extension: panel indicates 11 November 2024 target to resume/circulate.
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),panel_report,2025-01-10,2025-Q1,WTO,https://www.wto.org/english/tratop_e/dispu_e/593r_e.pdf,,,Panel report circulated (WT/DS593/R).
IDN-EU-PALMOIL-DS593,DS593,IDN,EUU,Palm oil / biofuels,Sustainability (RED II),adoption,2025-02-24,2025-Q1,WTO,https://papers.ssrn.com/sol3/Delivery.cfm/5176727.pdf?abstractid=5176727&mirid=1&type=2,,,Panel report adopted by the DSB (per scholarly review; confirm via DSB minutes).
PHL-CHN-BANANAS-2012,,PHL,CHN,Fresh bananas,Market access during maritime frictions,other,2012-03-01,2012-Q1,Bilateral/AdHoc,https://www.reuters.com/article/business/philippines-seeks-new-markets-amid-sea-dispute-with-china-idUSLNE84G026/,0,,China halts a shipment and tightens quarantine on Philippine bananas (exact day not reported; month known).
PHL-CHN-BANANAS-2012,,PHL,CHN,Fresh bananas,Market access during maritime frictions,other,2012-04-08,2012-Q2,Bilateral/AdHoc,https://en.wikipedia.org/wiki/Scarborough_Shoal_standoff,0,,Scarborough Shoal standoff begins; political context for trade disruption.
PHL-CHN-BANANAS-2012,,PHL,CHN,Fresh bananas,Market access during maritime frictions,other,2012-05-15,2012-Q2,Bilateral/AdHoc,https://www.cfr.org/timeline/chinas-maritime-disputes,0,,Est. $34m losses in May 2012 as China quarantines Philippine fruits; signal of economic costs.
PHL-CHN-BANANAS-2012,,PHL,CHN,Fresh bananas,Market access during maritime frictions,other,2012-06-01,2012-Q2,Bilateral/AdHoc,https://www.reuters.com/article/business/philippines-seeks-new-markets-amid-sea-dispute-with-china-idUSLNE84G026/,0,,Banana exporters given until June 1 to comply with stricter quarantine rules.
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),consultations_requested,2013-02-06,2013-Q1,WTO,https://policy.trade.ec.europa.eu/enforcement-and-protection/dispute-settlement/wto-dispute-settlement/wto-disputes-cases-involving-eu/wtds456-india-certain-measures-relating-solar-cells-and-solar-modules_en,,,United States requests consultations with India on DCRs under the National Solar Mission.
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),panel_request,2014-04-14,2014-Q2,WTO,https://www.wto.org/english/tratop_e/dispu_e/cases_e/ds456_e.htm,,,Panel requested by the United States.
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),panel_established,2014-05-23,2014-Q2,WTO,https://www.wto.org/english/tratop_e/dispu_e/cases_e/ds456_e.htm,,,DSB establishes panel.
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),panel_composed,2014-09-24,2014-Q3,WTO,https://www.wto.org/english/tratop_e/dispu_e/cases_e/ds456_e.htm,,,Panel composed.
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),panel_report,2016-02-24,2016-Q1,WTO,https://www.worldtradelaw.net/reports/wtopanels/india-solarcells%28panel%29.pdf.download,,,Panel report circulated (WT/DS456/R).
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),appellate_body_report,2016-09-16,2016-Q3,WTO,https://www.wto.org/english/tratop_e/dispu_e/456abr_e.pdf,,,Appellate Body report circulated (WT/DS456/AB/R).
USA-IND-SOLAR-DS456,DS456,USA,IND,Solar cells & modules,Domestic Content Requirements (JNNSM),adoption,2016-10-14,2016-Q4,WTO,https://www.qil-qdi.org/procedural-innovations-in-the-mpia-a-way-to-strengthen-the-wto-dispute-settlement-mechanism/,,,DSB adopts the AB and Panel reports.
