reporter_iso3,partner_iso3,hs_code,product,period,trade_flow,value_eur,unit,source_file
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2002,import,460043233,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2003,import,421090723,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2004,import,497790174,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2005,import,499273694,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2006,import,566240490,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2007,import,719958698,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2008,import,1303454647,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2009,import,1449320529,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2010,import,1636322763,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2011,import,1657529109,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2012,import,1919581401,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2013,import,2313193336,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2014,import,2361550345,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2015,import,2152466624,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2016,import,1907409750,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2017,import,2434317515,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2018,import,1893017062,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2019,import,1770670230,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2020,import,2115092144,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2021,import,2312836735,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2022,import,2289579104,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2023,import,1953786067,EUR,Eurostat_DS-045409_data-18645077.csv
EUU,IDN,1511,Palm oil and its fractions (Eurostat DS-045409),2024,import,1389504443,EUR,Eurostat_DS-045409_data-18645077.csv
